"SD 512x512 - 1:1"|512|512
"SD 768x512 - 3:2"|768|512
"XL 1024x1024 - 1:1"|1024|1024
"XL 1152x896 - 9:7"|1152|896
"XL 1216x832 - 3:2"|1216|832
"XL 1344x768 - 7:4"|1344|768
"XL 1536x640 - 12:5"|1536|640
"XXL 1536x1536 - 1:1"|1536|1536
"XXL 1728x1296 - 4:3"|1728|1296
"XXL 1728x1344 - 9:7"|1728|1344
"XXL 1872x1248 - 3:2"|1872|1248
"XXL 1920x1152 - 8:5"|1920|1152
